gene,immune_cell,spearman_rho,fdr_bh
YTHDF3,CD8 T,-0.2447,0.0000
ADAR,CD8 T,-0.1697,0.0017
CBLL1,CD8 T,-0.1582,0.0031
YTHDC2,CD8 T,-0.1499,0.0046
FTO,CD8 T,-0.1466,0.0048
METTL14,CD8 T,-0.1352,0.0097
FMR1,CD8 T,-0.1200,0.0244
RBM15,CD8 T,-0.1004,0.0723
RBM15B,CD8 T,-0.0870,0.1341
YTHDC1,CD8 T,-0.0841,0.1405
METTL3,CD8 T,-0.0813,0.1465
ALKBH5,CD8 T,0.0698,0.2182
IGF2BP3,CD8 T,-0.0692,0.2182
ZC3H13,CD8 T,-0.0651,0.2360
IGF2BP2,CD8 T,-0.0641,0.2360
ELAVL1,CD8 T,0.0594,0.2671
YTHDF2,CD8 T,-0.0533,0.3188
HNRNPA2B1,CD8 T,-0.0499,0.3410
IGF2BP1,CD8 T,-0.0443,0.3800
WTAP,CD8 T,0.0437,0.3800
METTL16,CD8 T,-0.0421,0.3824
YTHDF1,CD8 T,-0.0371,0.4281
HNRNPC,CD8 T,0.0262,0.5599
HNRNPC,Monocytes,-0.1502,0.0181
FMR1,Monocytes,-0.1213,0.0778
ELAVL1,Monocytes,-0.1121,0.0953
YTHDC1,Monocytes,-0.1027,0.1267
IGF2BP1,Monocytes,-0.0818,0.3148
HNRNPA2B1,Monocytes,-0.0741,0.3793
IGF2BP2,Monocytes,-0.0705,0.3820
CBLL1,Monocytes,0.0670,0.3900
ADAR,Monocytes,-0.0617,0.4331
IGF2BP3,Monocytes,-0.0553,0.4976
ALKBH5,Monocytes,-0.0530,0.4976
YTHDC2,Monocytes,-0.0506,0.4987
RBM15B,Monocytes,-0.0462,0.5047
METTL14,Monocytes,-0.0459,0.5047
YTHDF2,Monocytes,-0.0352,0.6088
METTL16,Monocytes,0.0345,0.6088
RBM15,Monocytes,0.0338,0.6088
FTO,Monocytes,-0.0320,0.6088
YTHDF1,Monocytes,0.0272,0.6596
WTAP,Monocytes,0.0155,0.8391
YTHDF3,Monocytes,-0.0106,0.8910
ZC3H13,Monocytes,0.0058,0.9085
METTL3,Monocytes,-0.0052,0.9085
FMR1,Mφ M0,-0.1085,0.2189
IGF2BP1,Mφ M0,0.1052,0.2189
FTO,Mφ M0,-0.0874,0.3437
IGF2BP2,Mφ M0,-0.0845,0.3437
CBLL1,Mφ M0,-0.0800,0.3442
WTAP,Mφ M0,0.0707,0.4435
HNRNPC,Mφ M0,0.0571,0.5265
IGF2BP3,Mφ M0,0.0570,0.5265
RBM15B,Mφ M0,0.0568,0.5265
YTHDF2,Mφ M0,0.0511,0.5525
ZC3H13,Mφ M0,-0.0502,0.5525
ELAVL1,Mφ M0,-0.0455,0.5962
YTHDC2,Mφ M0,-0.0420,0.6197
RBM15,Mφ M0,0.0359,0.6406
YTHDF3,Mφ M0,-0.0350,0.6406
YTHDF1,Mφ M0,-0.0343,0.6406
ALKBH5,Mφ M0,-0.0296,0.6562
METTL3,Mφ M0,0.0294,0.6562
METTL14,Mφ M0,0.0248,0.6745
YTHDC1,Mφ M0,-0.0245,0.6745
METTL16,Mφ M0,0.0180,0.7541
HNRNPA2B1,Mφ M0,0.0132,0.8048
ADAR,Mφ M0,0.0044,0.9219
ADAR,Mφ M1,0.3874,0.0000
YTHDC2,Mφ M1,0.2638,0.0000
YTHDF3,Mφ M1,0.2436,0.0000
METTL14,Mφ M1,0.2430,0.0000
FMR1,Mφ M1,0.2310,0.0000
YTHDF1,Mφ M1,0.2257,0.0000
FTO,Mφ M1,0.2127,0.0000
ZC3H13,Mφ M1,0.2058,0.0000
ELAVL1,Mφ M1,0.2024,0.0000
RBM15B,Mφ M1,0.1969,0.0000
HNRNPC,Mφ M1,0.1900,0.0000
YTHDF2,Mφ M1,0.1701,0.0003
YTHDC1,Mφ M1,0.1678,0.0003
HNRNPA2B1,Mφ M1,0.1382,0.0033
RBM15,Mφ M1,0.1276,0.0067
IGF2BP3,Mφ M1,0.0922,0.0574
ALKBH5,Mφ M1,0.0791,0.1056
METTL3,Mφ M1,0.0692,0.1575
CBLL1,Mφ M1,0.0602,0.2182
WTAP,Mφ M1,0.0578,0.2278
IGF2BP2,Mφ M1,-0.0480,0.3128
METTL16,Mφ M1,0.0327,0.4879
IGF2BP1,Mφ M1,0.0113,0.8016
WTAP,Mφ M2,-0.1512,0.0166
CBLL1,Mφ M2,0.1153,0.1159
YTHDF2,Mφ M2,-0.1053,0.1448
YTHDC1,Mφ M2,-0.0984,0.1624
ALKBH5,Mφ M2,-0.0909,0.1784
METTL14,Mφ M2,-0.0893,0.1784
YTHDF1,Mφ M2,-0.0695,0.3850
RBM15,Mφ M2,-0.0673,0.3850
YTHDF3,Mφ M2,0.0643,0.3890
ADAR,Mφ M2,-0.0511,0.5486
ZC3H13,Mφ M2,-0.0486,0.5486
HNRNPC,Mφ M2,-0.0479,0.5486
FMR1,Mφ M2,-0.0419,0.6211
IGF2BP2,Mφ M2,-0.0364,0.6754
