gene,immune_cell,spearman_rho,fdr_bh
YTHDF3,CD8 T,-0.2447,0.0000
CBLL1,CD8 T,-0.1582,0.0044
YTHDC2,CD8 T,-0.1499,0.0058
FTO,CD8 T,-0.1466,0.0058
METTL14,CD8 T,-0.1352,0.0111
FMR1,CD8 T,-0.1200,0.0272
RBM15,CD8 T,-0.1004,0.0790
RBM15B,CD8 T,-0.0870,0.1443
YTHDC1,CD8 T,-0.0841,0.1493
METTL3,CD8 T,-0.0813,0.1542
ALKBH5,CD8 T,0.0698,0.2261
IGF2BP3,CD8 T,-0.0692,0.2261
ZC3H13,CD8 T,-0.0651,0.2419
IGF2BP2,CD8 T,-0.0641,0.2419
ELAVL1,CD8 T,0.0594,0.2725
YTHDF2,CD8 T,-0.0533,0.3240
HNRNPA2B1,CD8 T,-0.0499,0.3454
IGF2BP1,CD8 T,-0.0443,0.3826
WTAP,CD8 T,0.0437,0.3826
METTL16,CD8 T,-0.0421,0.3840
YTHDF1,CD8 T,-0.0371,0.4290
HNRNPC,CD8 T,0.0262,0.5599
HNRNPC,Monocytes,-0.1502,0.0173
FMR1,Monocytes,-0.1213,0.0744
ELAVL1,Monocytes,-0.1121,0.0912
YTHDC1,Monocytes,-0.1027,0.1212
IGF2BP1,Monocytes,-0.0818,0.3011
HNRNPA2B1,Monocytes,-0.0741,0.3628
IGF2BP2,Monocytes,-0.0705,0.3654
CBLL1,Monocytes,0.0670,0.3730
IGF2BP3,Monocytes,-0.0553,0.5199
ALKBH5,Monocytes,-0.0530,0.5199
YTHDC2,Monocytes,-0.0506,0.5199
RBM15B,Monocytes,-0.0462,0.5199
METTL14,Monocytes,-0.0459,0.5199
YTHDF2,Monocytes,-0.0352,0.6166
METTL16,Monocytes,0.0345,0.6166
RBM15,Monocytes,0.0338,0.6166
FTO,Monocytes,-0.0320,0.6166
YTHDF1,Monocytes,0.0272,0.6659
WTAP,Monocytes,0.0155,0.8448
YTHDF3,Monocytes,-0.0106,0.8949
ZC3H13,Monocytes,0.0058,0.9085
METTL3,Monocytes,-0.0052,0.9085
FMR1,Mφ M0,-0.1085,0.2094
IGF2BP1,Mφ M0,0.1052,0.2094
FTO,Mφ M0,-0.0874,0.3288
IGF2BP2,Mφ M0,-0.0845,0.3288
CBLL1,Mφ M0,-0.0800,0.3292
WTAP,Mφ M0,0.0707,0.4242
HNRNPC,Mφ M0,0.0571,0.5037
IGF2BP3,Mφ M0,0.0570,0.5037
RBM15B,Mφ M0,0.0568,0.5037
YTHDF2,Mφ M0,0.0511,0.5284
ZC3H13,Mφ M0,-0.0502,0.5284
ELAVL1,Mφ M0,-0.0455,0.5703
YTHDC2,Mφ M0,-0.0420,0.5928
RBM15,Mφ M0,0.0359,0.6127
YTHDF3,Mφ M0,-0.0350,0.6127
YTHDF1,Mφ M0,-0.0343,0.6127
ALKBH5,Mφ M0,-0.0296,0.6277
METTL3,Mφ M0,0.0294,0.6277
METTL14,Mφ M0,0.0248,0.6452
YTHDC1,Mφ M0,-0.0245,0.6452
METTL16,Mφ M0,0.0180,0.7213
HNRNPA2B1,Mφ M0,0.0132,0.7698
YTHDC2,Mφ M1,0.2638,0.0000
YTHDF3,Mφ M1,0.2436,0.0000
METTL14,Mφ M1,0.2430,0.0000
FMR1,Mφ M1,0.2310,0.0000
YTHDF1,Mφ M1,0.2257,0.0000
FTO,Mφ M1,0.2127,0.0000
ZC3H13,Mφ M1,0.2058,0.0000
ELAVL1,Mφ M1,0.2024,0.0000
RBM15B,Mφ M1,0.1969,0.0000
HNRNPC,Mφ M1,0.1900,0.0000
